lines,latitude,longitude,time,brigade,vehicle_number
225,52.260168,21.161186,16:32:45,501,1000
219,52.1905048,21.149064,16:32:46,1,1001
213,52.1641731,21.2200105,16:32:49,3,1002
213,52.2124076,21.1083995,16:32:49,4,1003
225,52.2250128,21.0928988,16:32:48,503,1004
225,52.259918,21.1620635,16:32:46,502,1005
213,52.1610688,21.2114085,16:32:52,2,1006
219,52.2030356,21.1665565,16:32:48,2,1007
L-8,52.387323,21.030852,16:32:49,1,10071
L31,52.4251966,21.0332643,16:32:52,1,10072
L49,52.3536246,20.943374,16:32:51,1,10073
L24,52.0684636,21.0998773,16:32:52,696,10074
L-8,52.3863198,21.0304848,16:32:48,02,10075
225,52.2346265,21.099337,16:32:51,04,1009
219,52.222853,21.102246,16:32:53,3,1010
213,52.1892815,21.1718431,16:32:48,1,1013
213,52.2227841,21.1024835,16:32:52,5,1014
815,52.153675,21.030809,16:32:48,777,1020
192,52.179062,21.021381,16:32:48,3,1021
263,52.148831,21.033308,16:32:47,4,1022
200,52.1692334,21.069989,16:32:47,1,1023
107,52.194664,21.054802,16:32:51,9,1024
163,52.167801,21.083906,16:32:52,03,1025
339,52.1796,21.023798,16:32:52,01,1026
108,52.228363,21.023529,16:32:47,1,1028
164,52.1597701,21.088168,16:32:52,04,1029
192,52.143238,21.047371,16:32:48,06,1030
239,52.153919,21.037645,16:32:51,776,1031
163,52.17564,21.107101,16:32:49,01,1032
192,52.150076,21.0457592,16:32:50,2,1034
208,52.208817,20.947821,16:32:52,05,1036
107,52.2296267,21.0167869,16:32:52,7,1037
164,52.1456604,21.1387184,16:32:52,05,1038
204,52.324083,21.068066,16:32:45,03,1040
107,52.256624,21.000371,16:32:42,2,1042
204,52.3177133,21.04648,16:32:49,07,1043
107,52.2069117,21.047095,16:32:48,8,1044
204,52.2939517,21.03254,16:32:49,06,1045
107,52.2295567,21.0119783,16:32:38,4,1046
204,52.3243583,21.07111,16:32:32,04,1048
204,52.300601,21.031735,16:32:49,05,1049
228,52.2077767,20.92539,16:32:44,2,1050
208,52.201948,20.966306,16:32:49,2,1051
228,52.1989517,20.9660517,16:32:42,3,1052
228,52.20147,20.944696,16:32:33,1,1054
207,52.193208,20.895275,16:32:44,2,1055
207,52.2003433,20.8928133,16:32:51,1,1057
208,52.21062,20.976295,16:32:45,591,1059
163,52.178253,21.049026,16:32:47,02,1060
339,52.130867,21.096317,16:32:48,02,1061
192,52.1298319,21.067221,16:32:49,1,1062
108,52.212486,21.071583,16:32:48,399,1063
208,52.203373,20.969618,16:32:50,06,1064
263,52.160759,21.09297,16:32:52,06,1065
107,52.192028,21.066406,16:32:52,1,1066
108,52.179642,21.024229,16:32:46,4,1068
339,52.138416,21.099062,16:32:52,03,1069
107,52.238827,21.005943,16:32:51,6,1070
200,52.2048,21.009527,16:32:47,2,1071
192,52.141483,21.042099,16:32:50,5,1072
208,52.211746,20.974943,16:32:49,03,1073
108,52.212257,21.06354,16:32:49,2,1074
108,52.183281,21.058193,16:32:50,5,1075
192,52.152992,21.03764,16:32:52,4,1076
108,52.1822519,21.056793,16:32:52,3,1077
107,52.223843,21.019789,16:32:48,3,1078
106,52.2338888,20.9860133,16:32:34,09,1101
173,52.2437856,21.0958536,16:32:44,10,1102
178,52.2280781,20.9569183,16:32:46,013,1106
338,52.2613578,21.0296663,16:32:48,02,1109
173,52.2462236,21.1840885,16:32:46,2,1110
169,52.274573,21.043011,16:32:44,4,1112
106,52.2393706,21.0270631,16:32:49,08,1115
303,52.2685571,20.9852255,16:32:50,2,1117
338,52.2611648,21.0884706,16:32:49,05,1118
123,52.265408,21.044676,16:32:42,5,1119
218,52.1908229,21.0247612,16:32:52,2,1200
263,52.180183,21.053528,16:32:47,5,1201
263,52.150887,21.047485,16:32:48,2,1202
166,52.23494,21.038078,16:32:51,6,1203
218,52.178009,21.004957,16:32:51,5,1204
739,52.098557,21.053144,16:32:51,013,1205
106,52.235188,20.965536,16:32:49,6,1206
263,52.180094,21.0713472,16:32:52,1,1207
139,52.105152,21.112129,16:32:52,61,1208
319,52.1881941,20.9951854,16:32:51,03,1209
139,52.179565,21.024054,16:32:50,62,1211
251,52.148342,21.092829,16:32:52,65,1212
263,52.159725,21.087812,16:32:50,3,1213
251,52.089504,21.123188,16:32:52,63,1214
218,52.189026,21.002221,16:32:49,1,1216
251,52.163387,21.08437,16:32:50,64,1217
118,52.21706,21.015627,16:32:51,4,1218
739,52.179886,21.024151,16:32:48,014,1219
739,52.144646,21.017555,16:32:49,07,1220
106,52.241047,21.025558,16:32:49,4,1221
106,52.2356429,20.9958302,16:32:50,2,1222
218,52.183159,20.991003,16:32:51,3,1223
181,52.280106,20.9735133,16:32:49,4,1400
178,52.2158473,20.958747,16:32:18,012,1401
173,52.236416,21.122356,16:32:50,1,1412
119,52.20578,21.168741,16:32:43,2,1413
168,52.1888917,20.9975357,16:32:50,09,1414
119,52.202927,21.070395,16:32:50,3,1415
183,52.234947,21.125467,16:32:48,5,1416
319,52.158932,21.087513,16:32:51,02,1417
730,52.2346622,21.1157194,16:32:52,01,1418
146,52.240051,21.041468,16:32:48,08,1419
183,52.255871,21.156576,16:32:48,3,1420
183,52.244699,21.0871767,16:32:52,6,1421
183,52.238735,21.191723,16:32:51,4,1422
168,52.199051,21.00141,16:32:52,1,1424
173,52.2503334,21.0826866,16:32:52,012,1425
146,52.15678,21.178616,16:32:52,09,1426
147,52.24379,21.041039,16:32:50,5,1427
153,52.256863,21.177351,16:32:50,3,1428
183,52.239395,21.115606,16:32:50,2,1429
117,52.229904,21.004593,16:32:48,2,1430
240,52.3282718,21.1094818,16:32:50,1,1500
166,52.1569163,21.045254,16:32:48,2,1501
118,52.2270605,21.023119,16:32:45,3,1502
169,52.2498638,21.0429963,16:32:50,2,1505
170,52.2660975,21.068896,16:32:49,2,1506
156,52.290663,20.9280325,16:32:51,06,1508
126,52.3165298,21.011729,16:32:44,3,1509
303,52.290539,20.9358428,16:32:49,1,1513
107,52.24451,20.979384,16:32:48,5,1519
147,52.20453,21.16707,16:32:29,4,1520
119,52.2128917,21.0191733,16:32:44,4,1521
702,52.147719,21.18924,16:32:47,2,1523
147,52.234321,21.118179,16:32:34,3,1524
722,52.1539967,21.3118683,16:32:42,61,1525
173,52.2259483,21.243615,16:32:40,5,1526
115,52.2452017,21.178005,16:32:49,4,1528
153,52.269933,21.150908,16:32:35,2,1529
147,52.221584,21.231851,16:32:47,3,1530
106,52.2328333,20.9790233,16:32:41,1,1534
118,52.239874,21.029576,16:32:49,2,1537
212,52.26985,21.040915,16:32:45,06,1538
126,52.3192117,20.9972067,16:32:41,1,1539
118,52.23417,21.0348283,16:32:36,05,1540
181,52.309311,20.911325,16:32:50,2,1542
126,52.264491,21.046034,16:32:41,055,1545
123,52.250685,21.0703317,16:32:38,4,1546
123,52.22447,21.1024233,16:32:41,08,1548
122,52.2275517,20.898005,16:32:50,8,1549
