lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
213,52.1600513,21.2233658,13:31:12,1,1003,13:33:00,-1.8,2162,02,Wasilkowska
225,52.222961,21.101779,13:31:12,501,1009,13:30:00,1.2,2148,04,Gocław
213,52.214196,21.1425295,13:31:11,5,1012,13:28:00,3.183333333333333,2264,01,Pielęgniarek
213,52.2227923,21.1024645,13:30:53,4,1014,13:11:00,19.883333333333333,2148,05,Gocław
108,52.1823691,21.0568134,13:31:14,2,1034,13:29:00,2.2333333333333334,3033,55,św.Bonifacego
208,52.205316,20.971356,13:30:57,05,1036,13:32:00,-1.05,4006,02,Dickensa
107,52.226981,21.01817,13:30:56,4,1044,13:22:00,8.933333333333334,7034,02,Wspólna
228,52.204324,20.941456,13:31:08,1,1055,13:32:00,-0.8666666666666667,4047,05,PKP WKD Al.Jerozolimskie
156,52.279056,20.977758,13:31:13,3,1110,13:29:00,2.216666666666667,6133,03,os.Potok
173,52.246893,21.187503,13:31:08,10,1119,13:34:00,-2.8666666666666667,2277,01,Brata Alberta
L27,52.3485165,21.2055021,13:30:29,1,11201,13:27:00,3.4833333333333334,1734,01,Mała
263,52.182308,21.068903,13:31:10,3,1200,13:30:00,1.1666666666666667,3065,02,Sadyba
263,52.1502709,21.0465089,13:31:14,5,1201,13:31:00,0.23333333333333334,3280,01,Metro Imielin
106,52.232265,20.976538,13:31:09,6,1202,13:31:00,0.15,5095,01,Siedmiogrodzka
166,52.133976,21.074898,13:31:13,661,1203,13:30:00,1.2166666666666666,3287,02,Wąwozowa
263,52.1800394,21.0532026,13:31:13,2,1211,13:31:00,0.21666666666666667,3093,01,Batumi
139,52.105682,21.10688,13:31:08,62,1216,13:12:00,19.133333333333333,3315,01,Wczasowa
218,52.1834335,21.0013194,13:31:12,1,1217,13:27:00,4.2,3242,06,Domaniewska
106,52.2463444,21.0194237,13:31:14,4,1219,13:32:00,-0.7666666666666667,7059,01,Mariensztat
153,52.256855,21.177042,13:31:10,1,1412,13:34:00,-2.8333333333333335,2086,02,Rembertów-Kolonia
119,52.205711,21.172453,13:31:12,1,1413,13:26:00,5.2,2438,02,Wawer-Ratusz
183,52.243786,21.138107,13:31:14,2,1419,13:33:00,-1.7666666666666666,2067,01,Rekrucka
173,52.249508,21.244732,13:31:14,4,1426,13:29:00,2.2333333333333334,2285,02,Wola Grzybowska
