lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
219,52.1905048,21.149064,16:32:46,1,1001,16:30:00,2.7666666666666666,2402,02,Zabłudowska
213,52.2124076,21.1083995,16:32:49,4,1003,16:30:00,2.816666666666667,2385,01,Sęczkowa
107,52.223843,21.019789,16:32:48,3,1078,16:19:00,13.8,7035,03,Mokotowska
106,52.2356429,20.9958302,16:32:50,2,1222,16:34:00,-1.1666666666666667,7087,02,al.Jana Pawła II
181,52.280106,20.9735133,16:32:49,4,1400,16:14:00,18.816666666666666,6137,02,Rudzka
119,52.202927,21.070395,16:32:50,3,1415,16:33:00,-0.16666666666666666,3323,02,Małe Siekierki
183,52.255871,21.156576,16:32:48,3,1420,16:27:00,5.8,2070,02,PKP Rembertów
118,52.2270605,21.023119,16:32:45,3,1502,16:27:00,5.75,7040,01,pl.Trzech Krzyży
170,52.2660975,21.068896,16:32:49,2,1506,16:13:00,19.816666666666666,1046,02,Hutnicza
126,52.3165298,21.011729,16:32:44,3,1509,16:17:00,15.733333333333333,1126,01,Płytowa
115,52.2452017,21.178005,16:32:49,4,1528,16:22:00,10.816666666666666,2276,02,Jagiellońska
106,52.2328333,20.9790233,16:32:41,1,1534,16:23:00,9.683333333333334,5095,02,Siedmiogrodzka
126,52.3192117,20.9972067,16:32:41,1,1539,16:24:00,8.683333333333334,1097,01,Marcelin
181,52.309311,20.911325,16:32:50,2,1542,16:15:00,17.833333333333332,6072,01,Dankowicka
106,52.2463687,21.0193654,16:32:52,3,1907,16:34:00,-1.1333333333333333,7059,01,Mariensztat
172,52.200941,20.984811,16:32:46,3,2032,16:33:00,-0.23333333333333334,4032,01,Pruszkowska
719,52.2394532,20.8977134,16:32:49,2,2200,16:29:00,3.816666666666667,5050,03,os.Górczewska
105,52.2296882,20.9800104,16:32:52,4,2201,16:19:00,13.866666666666667,5040,09,rondo Daszyńskiego
184,52.288654,20.934933,16:32:49,6,2205,16:31:00,1.8166666666666667,6057,03,Sokratesa
191,52.219135,20.983437,16:32:50,6,2209,16:26:00,6.833333333333333,4003,02,pl.Narutowicza
124,52.156658,20.950623,16:32:51,2,2218,16:34:00,-1.15,4022,02,Przelotowa
511,52.291257,20.9283708,16:32:50,2,3401,16:22:00,10.833333333333334,6059,18,Metro Młociny
190,52.3050778,21.0851593,16:32:49,8,3402,16:15:00,17.816666666666666,1234,01,CH Marki
527,52.3224638,21.0572125,16:32:45,516,3448,16:29:00,3.75,1357,02,os.Derby VI
207,52.187168,20.896885,16:32:51,3,4201,16:35:00,-2.15,4336,02,Hassa
178,52.18573,20.895866,16:32:51,1,4211,16:25:00,7.85,4284,04,Skorosze
129,52.200314,20.914495,16:32:51,4,4232,16:16:00,16.85,4092,02,Ryżowa
178,52.21759,20.960424,16:32:51,5,4234,16:17:00,15.85,4045,06,rondo Zesłańców Syberyjskich
153,52.2637079,21.1569285,16:32:52,1,4314,16:13:00,19.866666666666667,2090,01,Zawodowa
119,52.2103201,21.1608094,16:32:52,1,4321,16:35:00,-2.1333333333333333,2038,04,Piechurów
129,52.2467577,20.9476049,16:32:51,2,4331,16:22:00,10.85,5071,03,Deotymy
178,52.2016282,20.9349386,16:32:52,2,4339,16:17:00,15.866666666666667,4048,04,Popularna
134,52.306973,21.061245,16:32:52,3,4409,16:32:00,0.8666666666666667,1205,01,Głębocka
